the	{"determiner": ["cái", "con", "những"]}
out	{"adverb": ["ra ngoài"], "preposition": ["bên ngoài"]}
into	{"preposition": ["vào trong"]}
just	{"adverb": ["chỉ", "vừa"]}
see	{"verb": ["nhìn", "thấy"]}
him	{"pronoun": ["anh ấy", "ông ấy", "cậu ấy"]}
your	{"determiner": ["của bạn", "của anh", "của chị", "của em"]}
come	{"verb": ["đến"]}
could	{"verb": ["có thể"]}
now	{"adverb": ["bây giờ"]}
than	{"conjunction": ["hơn"]}
like	{"verb": ["thích"], "preposition": ["như"]}
other	{"adjective": ["khác"], "pronoun": ["người khác", "cái khác"]}
how	{"adverb": ["như thế nào"]}
then	{"adverb": ["sau đó", "rồi"]}
its	{"determiner": ["của nó"]}
our	{"determiner": ["của chúng tôi", "của chúng ta"]}
two	{"number": ["hai"]}
more	{"adjective": ["hơn"], "adverb": ["hơn nữa"]}
these	{"determiner": ["những cái này"]}
want	{"verb": ["muốn"]}
way	{"noun": ["cách", "đường"]}
look	{"verb": ["nhìn"], "noun": ["cái nhìn"]}
first	{"adjective": ["đầu tiên"], "adverb": ["đầu tiên"]}
also	{"adverb": ["cũng"]}
new	{"adjective": ["mới"]}
because	{"conjunction": ["bởi vì"]}
day	{"noun": ["ngày"]}
use	{"verb": ["sử dụng"], "noun": ["sự sử dụng"]}
no	{"adjective": ["không"], "adverb": ["không"]}
man	{"noun": ["đàn ông", "người đàn ông"]}
find	{"verb": ["tìm", "tìm thấy"]}
here	{"adverb": ["ở đây"]}
thing	{"noun": ["vật", "điều", "chuyện"]}
give	{"verb": ["cho"]}
many	{"adjective": ["nhiều"]}
well	{"adverb": ["tốt", "khỏe"], "interjection": ["ừ", "vâng"]}
only	{"adjective": ["duy nhất"], "adverb": ["chỉ"]}
those	{"determiner": ["những cái đó", "những cái kia"]}
tell	{"verb": ["nói", "kể"]}
very	{"adverb": ["rất"]}
even	{"adverb": ["thậm chí"], "adjective": ["ngay cả"]}
back	{"adverb": ["trở lại", "phía sau"], "noun": ["lưng"]}
any	{"determiner": ["bất kỳ"]}
good	{"adjective": ["tốt"]}
woman	{"noun": ["phụ nữ", "người phụ nữ"]}
through	{"preposition": ["qua", "xuyên qua"]}
us	{"pronoun": ["chúng tôi", "chúng ta"]}
life	{"noun": ["cuộc sống", "đời"]}
child	{"noun": ["đứa trẻ", "con"]}
work	{"noun": ["công việc"], "verb": ["làm việc"]}
down	{"adverb": ["xuống"], "preposition": ["xuống dưới"]}
may	{"verb": ["có thể"]}
after	{"preposition": ["sau"], "conjunction": ["sau khi"]}
should	{"verb": ["nên"]}
call	{"verb": ["gọi"], "noun": ["cuộc gọi"]}
world	{"noun": ["thế giới"]}
over	{"preposition": ["trên", "hết"], "adverb": ["hết"]}
school	{"noun": ["trường học"]}
still	{"adverb": ["vẫn", "còn"]}
try	{"verb": ["cố gắng", "thử"]}
last	{"adjective": ["cuối cùng", "vừa qua"], "verb": ["kéo dài"]}
ask	{"verb": ["hỏi"]}
need	{"verb": ["cần"], "noun": ["nhu cầu"]}
too	{"adverb": ["quá", "cũng"]}
feel	{"verb": ["cảm thấy"]}
three	{"number": ["ba"]}
state	{"noun": ["bang", "trạng thái"], "verb": ["tuyên bố"]}
never	{"adverb": ["không bao giờ"]}
become	{"verb": ["trở thành"]}
between	{"preposition": ["giữa"]}
high	{"adjective": ["cao"]}
something	{"pronoun": ["cái gì đó", "điều gì đó"]}
really	{"adverb": ["thực sự", "thật"]}
most	{"adjective": ["nhất", "hầu hết"], "adverb": ["nhất"]}
another	{"adjective": ["khác", "một cái khác"]}
much	{"adjective": ["nhiều"], "adverb": ["nhiều"]}
family	{"noun": ["gia đình"]}
own	{"adjective": ["riêng"], "verb": ["sở hữu"]}
leave	{"verb": ["rời đi", "để lại"]}
put	{"verb": ["đặt"]}
old	{"adjective": ["cũ", "già"]}
while	{"noun": ["trong khi"], "conjunction": ["trong khi"]}
mean	{"verb": ["có nghĩa là"], "adjective": ["keo kiệt"]}
keep	{"verb": ["giữ"]}
student	{"noun": ["sinh viên", "học sinh"]}
why	{"adverb": ["tại sao"]}
let	{"verb": ["cho phép"]}
great	{"adjective": ["tuyệt vời", "lớn"]}
same	{"adjective": ["giống nhau"]}
big	{"adjective": ["lớn"]}
group	{"noun": ["nhóm"]}
begin	{"verb": ["bắt đầu"]}
seem	{"verb": ["có vẻ như"]}
country	{"noun": ["đất nước", "quốc gia"]}
help	{"verb": ["giúp đỡ"], "noun": ["sự giúp đỡ"]}
talk	{"verb": ["nói chuyện"], "noun": ["cuộc nói chuyện"]}
where	{"adverb": ["ở đâu"], "conjunction": ["nơi mà"]}
turn	{"verb": ["quay", "rẽ"], "noun": ["lượt"]}
problem	{"noun": ["vấn đề"]}
every	{"determiner": ["mỗi", "mọi"]}
start	{"verb": ["bắt đầu"], "noun": ["sự bắt đầu"]}
hand	{"noun": ["tay"]}
might	{"verb": ["có thể"]}
american	{"adjective": ["thuộc về Mỹ"], "noun": ["người Mỹ"]}
show	{"verb": ["cho xem", "thể hiện"], "noun": ["buổi biểu diễn"]}
part	{"noun": ["phần"]}
against	{"preposition": ["chống lại", "đối với"]}
place	{"noun": ["địa điểm", "nơi"], "verb": ["đặt"]}
such	{"adjective": ["như vậy"]}
again	{"adverb": ["lại"]}
few	{"adjective": ["ít", "vài"]}
case	{"noun": ["trường hợp", "vụ việc"]}
week	{"noun": ["tuần"]}
company	{"noun": ["công ty"]}
system	{"noun": ["hệ thống"]}
each	{"determiner": ["mỗi"]}
right	{"adjective": ["đúng", "phải"], "noun": ["quyền"], "adverb": ["ngay"]}
program	{"noun": ["chương trình"]}
hear	{"verb": ["nghe"]}
question	{"noun": ["câu hỏi"], "verb": ["hỏi"]}
during	{"preposition": ["trong suốt"]}
play	{"verb": ["chơi"], "noun": ["vở kịch"]}
government	{"noun": ["chính phủ"]}
run	{"verb": ["chạy", "điều hành"]}
small	{"adjective": ["nhỏ"]}
number	{"noun": ["số"]}
off	{"adverb": ["tắt", "khỏi"], "preposition": ["khỏi"]}
always	{"adverb": ["luôn luôn"]}
move	{"verb": ["di chuyển"]}
night	{"noun": ["đêm"]}
live	{"verb": ["sống"]}
point	{"noun": ["điểm", "ý"], "verb": ["chỉ"]}
believe	{"verb": ["tin"]}
hold	{"verb": ["cầm", "giữ"]}
today	{"noun": ["hôm nay"], "adverb": ["hôm nay"]}
bring	{"verb": ["mang", "đưa"]}
happen	{"verb": ["xảy ra"]}
next	{"adjective": ["tiếp theo"]}
without	{"preposition": ["không có"]}
before	{"preposition": ["trước"], "adverb": ["trước đây"], "conjunction": ["trước khi"]}
large	{"adjective": ["lớn"]}
million	{"noun": ["triệu"]}
must	{"verb": ["phải"]}
home	{"noun": ["nhà"], "adverb": ["ở nhà"]}
under	{"preposition": ["dưới"]}
water	{"noun": ["nước"]}
room	{"noun": ["phòng"]}
write	{"verb": ["viết"]}
mother	{"noun": ["mẹ"]}
area	{"noun": ["khu vực", "diện tích"]}
national	{"adjective": ["quốc gia"]}
money	{"noun": ["tiền"]}
story	{"noun": ["câu chuyện"]}
young	{"adjective": ["trẻ"]}
fact	{"noun": ["sự thật"]}
month	{"noun": ["tháng"]}
different	{"adjective": ["khác nhau"]}
lot	{"noun": ["nhiều", "lô"]}
study	{"verb": ["học"], "noun": ["sự học tập"]}
book	{"noun": ["sách"]}
eye	{"noun": ["mắt"]}
job	{"noun": ["công việc"]}
word	{"noun": ["từ"]}
though	{"conjunction": ["mặc dù"]}
business	{"noun": ["kinh doanh", "doanh nghiệp"]}
four	{"number": ["bốn"]}
issue	{"noun": ["vấn đề"], "verb": ["phát hành"]}
side	{"noun": ["bên", "mặt"]}
kind	{"noun": ["loại"], "adjective": ["tốt bụng"]}
head	{"noun": ["đầu"]}
far	{"adverb": ["xa"]}
black	{"noun": ["màu đen"], "adjective": ["đen"], "verb": ["bôi đen"]}
long	{"adjective": ["dài"], "adverb": ["lâu"], "verb": ["khao khát"]}
both	{"determiner": ["cả hai"], "pronoun": ["cả hai"], "adverb": ["cả hai"]}
little	{"adjective": ["nhỏ", "ít"], "adverb": ["một chút"], "noun": ["chút ít"]}
house	{"noun": ["nhà"], "verb": ["cho ở", "cất giữ"]}
yes	{"interjection": ["vâng", "ừ"], "noun": ["sự đồng ý"]}
since	{"preposition": ["từ khi"], "conjunction": ["bởi vì", "từ khi"], "adverb": ["từ đó"]}
provide	{"verb": ["cung cấp", "đưa cho"]}
service	{"noun": ["dịch vụ", "sự phục vụ"], "verb": ["phục vụ"]}
around	{"adverb": ["xung quanh", "quanh đây"], "preposition": ["xung quanh"]}
friend	{"noun": ["bạn", "người bạn"]}
important	{"adjective": ["quan trọng"]}
father	{"noun": ["cha", "bố"]}
sit	{"verb": ["ngồi"]}
away	{"adverb": ["xa", "đi"], "adjective": ["đi vắng"]}
until	{"preposition": ["cho đến khi"], "conjunction": ["cho đến khi"]}
power	{"noun": ["quyền lực", "sức mạnh", "năng lượng"], "verb": ["cung cấp năng lượng"]}
hour	{"noun": ["giờ"]}
game	{"noun": ["trò chơi", "ván chơi"]}
often	{"adverb": ["thường xuyên"]}
yet	{"adverb": ["chưa", "tuy nhiên", "vẫn"], "conjunction": ["nhưng"]}
line	{"noun": ["hàng", "dòng", "đường"], "verb": ["xếp hàng", "lót"]}
political	{"adjective": ["chính trị"]}
end	{"noun": ["kết thúc", "cuối"], "verb": ["kết thúc", "chấm dứt"]}
among	{"preposition": ["trong số", "giữa"]}
ever	{"adverb": ["từng", "bao giờ"]}
stand	{"verb": ["đứng"], "noun": ["vị trí", "chỗ đứng"]}
bad	{"adjective": ["xấu", "tệ"]}
lose	{"verb": ["mất", "thua"]}
however	{"adverb": ["tuy nhiên"], "conjunction": ["tuy nhiên"]}
member	{"noun": ["thành viên"]}
pay	{"verb": ["trả", "thanh toán"], "noun": ["tiền lương", "sự trả tiền"]}
law	{"noun": ["luật", "pháp luật"]}
meet	{"verb": ["gặp", "đáp ứng"], "noun": ["cuộc gặp gỡ"]}
car	{"noun": ["xe hơi", "ô tô"]}
city	{"noun": ["thành phố"]}
almost	{"adverb": ["hầu như", "gần như"]}
include	{"verb": ["bao gồm"]}
continue	{"verb": ["tiếp tục"]}
set	{"verb": ["đặt", "thiết lập"], "noun": ["bộ", "tập hợp"], "adjective": ["cố định"]}
later	{"adverb": ["sau", "muộn hơn"], "adjective": ["sau", "muộn hơn"]}
community	{"noun": ["cộng đồng"]}
name	{"noun": ["tên"], "verb": ["đặt tên"]}
five	{"number": ["năm"]}
once	{"adverb": ["một lần"], "conjunction": ["một khi"]}
white	{"adjective": ["trắng"], "noun": ["màu trắng"]}
least	{"adjective": ["ít nhất"], "adverb": ["ít nhất"], "noun": ["số lượng ít nhất"]}
president	{"noun": ["tổng thống", "chủ tịch"]}
learn	{"verb": ["học", "tìm hiểu"]}
real	{"adjective": ["thật", "thực tế"]}
change	{"verb": ["thay đổi"], "noun": ["sự thay đổi", "tiền lẻ"]}
team	{"noun": ["đội", "nhóm"]}
minute	{"noun": ["phút"], "adjective": ["rất nhỏ"]}
best	{"adjective": ["tốt nhất"], "adverb": ["tốt nhất"], "noun": ["điều tốt nhất"]}
several	{"adjective": ["vài", "một vài"]}
idea	{"noun": ["ý tưởng"]}
kid	{"noun": ["đứa trẻ", "cậu bé", "cô bé"]}
body	{"noun": ["cơ thể", "thân thể"]}
information	{"noun": ["thông tin"]}
nothing	{"pronoun": ["không gì", "không có gì"]}
ago	{"adverb": ["trước đây"]}
lead	{"verb": ["dẫn đầu", "chỉ đạo"], "noun": ["sự dẫn đầu", "chất chì"]}
social	{"adjective": ["xã hội"]}
understand	{"verb": ["hiểu"]}
whether	{"conjunction": ["liệu", "có...không"]}
watch	{"verb": ["xem", "theo dõi"], "noun": ["đồng hồ đeo tay"]}
together	{"adverb": ["cùng nhau"]}
follow	{"verb": ["theo", "đi theo"]}
parent	{"noun": ["cha mẹ"]}
stop	{"verb": ["dừng lại", "ngăn chặn"], "noun": ["sự dừng lại"]}
face	{"noun": ["mặt"], "verb": ["đối mặt"]}
anything	{"pronoun": ["bất cứ điều gì"]}
create	{"verb": ["tạo ra", "sáng tạo"]}
public	{"adjective": ["công cộng", "công khai"], "noun": ["công chúng"]}
already	{"adverb": ["đã rồi"]}
speak	{"verb": ["nói", "phát biểu"]}
others	{"pronoun": ["những người khác", "những cái khác"]}
read	{"verb": ["đọc"], "noun": ["sự đọc"]}
level	{"noun": ["mức độ", "cấp độ"], "adjective": ["bằng phẳng"]}
allow	{"verb": ["cho phép"]}
add	{"verb": ["thêm vào"]}
office	{"noun": ["văn phòng"]}
spend	{"verb": ["tiêu", "dành"]}
door	{"noun": ["cửa"]}
health	{"noun": ["sức khỏe"]}
person	{"noun": ["người"]}
art	{"noun": ["nghệ thuật"]}
sure	{"adjective": ["chắc chắn"], "adverb": ["chắc chắn"]}
war	{"noun": ["chiến tranh"]}
history	{"noun": ["lịch sử"]}
party	{"noun": ["bữa tiệc", "đảng"]}
within	{"preposition": ["trong vòng", "bên trong"]}
grow	{"verb": ["lớn lên", "phát triển", "trồng"]}
result	{"noun": ["kết quả"], "verb": ["dẫn đến"]}
open	{"adjective": ["mở"], "verb": ["mở"], "noun": ["chỗ trống"]}
morning	{"noun": ["buổi sáng"]}
walk	{"verb": ["đi bộ"], "noun": ["cuộc đi bộ"]}
reason	{"noun": ["lý do"]}
low	{"adjective": ["thấp"], "adverb": ["thấp"], "noun": ["mức thấp"]}
win	{"verb": ["thắng", "chiến thắng"], "noun": ["chiến thắng"]}
research	{"noun": ["nghiên cứu"], "verb": ["nghiên cứu"]}
girl	{"noun": ["cô gái"]}
guy	{"noun": ["anh chàng", "gã"]}
early	{"adjective": ["sớm"], "adverb": ["sớm"]}
food	{"noun": ["thức ăn", "đồ ăn"]}
himself	{"pronoun": ["chính anh ấy"]}
moment	{"noun": ["khoảnh khắc", "giây phút"]}
air	{"noun": ["không khí"]}
teacher	{"noun": ["giáo viên", "thầy giáo", "cô giáo"]}
force	{"noun": ["lực lượng", "sức mạnh"], "verb": ["ép buộc"]}
offer	{"verb": ["đề nghị", "cung cấp"], "noun": ["lời đề nghị"]}
enough	{"adjective": ["đủ"], "adverb": ["đủ"]}
education	{"noun": ["giáo dục"]}
across	{"preposition": ["băng qua", "ngang qua"], "adverb": ["băng qua"]}
although	{"conjunction": ["mặc dù"]}
remember	{"verb": ["nhớ"]}
foot	{"noun": ["bàn chân", "bước chân"]}
second	{"noun": ["giây"], "adjective": ["thứ hai"]}
boy	{"noun": ["cậu bé"]}
maybe	{"adverb": ["có lẽ"]}
toward	{"preposition": ["về phía", "hướng về"]}
able	{"adjective": ["có thể", "có khả năng"]}
age	{"noun": ["tuổi", "thời đại"], "verb": ["già đi"]}
policy	{"noun": ["chính sách"]}
everything	{"pronoun": ["mọi thứ"]}
love	{"noun": ["tình yêu"], "verb": ["yêu"]}
process	{"noun": ["quá trình"], "verb": ["xử lý"]}
music	{"noun": ["âm nhạc"]}
including	{"preposition": ["bao gồm"]}
consider	{"verb": ["cân nhắc", "xem xét"]}
appear	{"verb": ["xuất hiện", "có vẻ"]}
actually	{"adverb": ["thực sự", "thật ra"]}
buy	{"verb": ["mua"]}
probably	{"adverb": ["có lẽ"]}
human	{"adjective": ["con người", "nhân loại"], "noun": ["con người"]}
wait	{"verb": ["chờ đợi"], "noun": ["sự chờ đợi"]}
serve	{"verb": ["phục vụ"]}
market	{"noun": ["chợ", "thị trường"]}
die	{"verb": ["chết"]}
send	{"verb": ["gửi"]}
expect	{"verb": ["mong đợi", "kỳ vọng"]}
sense	{"noun": ["giác quan", "ý thức"], "verb": ["cảm thấy"]}
build	{"verb": ["xây dựng"]}
stay	{"verb": ["ở lại", "lưu lại"], "noun": ["sự ở lại"]}
fall	{"verb": ["rơi", "ngã"], "noun": ["mùa thu", "sự rơi"]}
oh	{"interjection": ["ồ"]}
nation	{"noun": ["quốc gia", "dân tộc"]}
plan	{"noun": ["kế hoạch"], "verb": ["lên kế hoạch"]}
cut	{"verb": ["cắt"], "noun": ["vết cắt"]}
college	{"noun": ["trường cao đẳng", "đại học"]}
interest	{"noun": ["sự quan tâm", "lãi suất"], "verb": ["quan tâm"]}
death	{"noun": ["cái chết"]}
course	{"noun": ["khóa học", "quá trình", "sân gôn"]}
someone	{"pronoun": ["ai đó"]}
experience	{"noun": ["kinh nghiệm"], "verb": ["trải nghiệm"]}
behind	{"preposition": ["phía sau"], "adverb": ["phía sau"]}
reach	{"verb": ["đạt đến", "với tới"], "noun": ["tầm với"]}
local	{"adjective": ["địa phương"], "noun": ["người địa phương"]}
six	{"number": ["sáu"]}
kill	{"verb": ["giết"]}
remain	{"verb": ["còn lại", "vẫn"]}
effect	{"noun": ["ảnh hưởng", "tác động"], "verb": ["gây ra"]}
yeah	{"interjection": ["ừ", "vâng"]}
suggest	{"verb": ["đề nghị", "gợi ý"]}
class	{"noun": ["lớp học", "hạng", "loại"]}
control	{"verb": ["kiểm soát", "điều khiển"], "noun": ["sự kiểm soát"]}
raise	{"verb": ["nâng lên", "nuôi dưỡng"], "noun": ["sự tăng lên"]}
care	{"noun": ["sự chăm sóc", "sự quan tâm"], "verb": ["chăm sóc", "quan tâm"]}
perhaps	{"adverb": ["có lẽ"]}
late	{"adjective": ["muộn"], "adverb": ["muộn"]}
hard	{"adjective": ["khó", "cứng"], "adverb": ["chăm chỉ"]}
field	{"noun": ["cánh đồng", "lĩnh vực"]}
else	{"adverb": ["khác", "nữa"]}
pass	{"verb": ["vượt qua", "đỗ", "chuyển"], "noun": ["vé", "đường đèo"]}
former	{"adjective": ["trước đây", "cũ"]}
sell	{"verb": ["bán"]}
major	{"adjective": ["chính", "lớn"], "noun": ["chuyên ngành", "thiếu tá"]}
sometimes	{"adverb": ["thỉnh thoảng"]}
require	{"verb": ["yêu cầu", "đòi hỏi"]}
along	{"preposition": ["dọc theo", "cùng với"], "adverb": ["dọc theo"]}
development	{"noun": ["sự phát triển"]}
themselves	{"pronoun": ["chính họ"]}
report	{"noun": ["báo cáo"], "verb": ["báo cáo"]}
role	{"noun": ["vai trò"]}
better	{"adjective": ["tốt hơn"], "adverb": ["tốt hơn"], "noun": ["điều tốt hơn"]}
economic	{"adjective": ["kinh tế"]}
effort	{"noun": ["nỗ lực"]}
decide	{"verb": ["quyết định"]}
rate	{"noun": ["tỷ lệ", "mức giá"], "verb": ["đánh giá"]}
strong	{"adjective": ["mạnh mẽ"]}
possible	{"adjective": ["có thể"]}
heart	{"noun": ["trái tim", "tấm lòng"]}
drug	{"noun": ["thuốc", "ma túy"]}
leader	{"noun": ["người lãnh đạo", "thủ lĩnh"]}
light	{"noun": ["ánh sáng"], "adjective": ["nhẹ", "sáng"], "verb": ["thắp sáng"]}
voice	{"noun": ["giọng nói"], "verb": ["bày tỏ"]}
wife	{"noun": ["vợ"]}
whole	{"adjective": ["toàn bộ", "cả"], "noun": ["toàn bộ"]}
police	{"noun": ["cảnh sát"]}
mind	{"noun": ["tâm trí", "ý kiến"], "verb": ["quan tâm", "để ý"]}
finally	{"adverb": ["cuối cùng"]}
pull	{"verb": ["kéo"], "noun": ["sự kéo"]}
return	{"verb": ["trở lại", "hoàn trả"], "noun": ["sự trở lại"]}
free	{"adjective": ["tự do", "miễn phí"], "verb": ["giải phóng"]}
military	{"adjective": ["quân sự"], "noun": ["quân đội"]}
price	{"noun": ["giá cả"], "verb": ["định giá"]}
less	{"adjective": ["ít hơn"], "adverb": ["ít hơn"], "preposition": ["trừ"]}
according	{"adverb": ["theo như"]}
decision	{"noun": ["quyết định"]}
explain	{"verb": ["giải thích"]}
son	{"noun": ["con trai"]}
hope	{"noun": ["hy vọng"], "verb": ["hy vọng"]}
develop	{"verb": ["phát triển"]}
view	{"noun": ["quan điểm", "tầm nhìn"], "verb": ["nhìn", "xem xét"]}
relationship	{"noun": ["mối quan hệ"]}
carry	{"verb": ["mang", "vận chuyển"]}
town	{"noun": ["thị trấn"]}
road	{"noun": ["đường", "con đường"]}
drive	{"verb": ["lái xe"], "noun": ["chuyến đi xe"]}
arm	{"noun": ["cánh tay"], "verb": ["trang bị"]}
true	{"adjective": ["đúng", "thật"]}
federal	{"adjective": ["liên bang"]}
break	{"verb": ["làm vỡ", "phá vỡ"], "noun": ["sự phá vỡ", "giờ nghỉ"]}
difference	{"noun": ["sự khác biệt"]}
receive	{"verb": ["nhận"]}
thank	{"verb": ["cảm ơn"], "noun": ["lời cảm ơn"]}
value	{"noun": ["giá trị"], "verb": ["đánh giá"]}
international	{"adjective": ["quốc tế"]}
building	{"noun": ["tòa nhà", "công trình"]}
action	{"noun": ["hành động"]}
full	{"adjective": ["đầy", "đủ", "trọn vẹn"], "noun": ["đầy đủ", "toàn bộ"]}
model	{"noun": ["mô hình", "người mẫu"], "verb": ["làm mẫu", "mô phỏng"], "adjective": ["mẫu mực"]}
join	{"verb": ["tham gia", "kết nối", "gia nhập"], "noun": ["chỗ nối", "mối nối"]}
season	{"noun": ["mùa"], "verb": ["nêm", "tẩm"]}
society	{"noun": ["xã hội", "hội"]}
tax	{"noun": ["thuế"], "verb": ["đánh thuế"]}
director	{"noun": ["giám đốc", "đạo diễn"]}
position	{"noun": ["vị trí", "chức vụ", "tư thế"], "verb": ["đặt vào vị trí"]}
player	{"noun": ["người chơi", "cầu thủ"]}
agree	{"verb": ["đồng ý", "tán thành"]}
especially	{"adverb": ["đặc biệt", "nhất là"]}
record	{"noun": ["bản ghi", "hồ sơ", "kỷ lục"], "verb": ["ghi lại", "thu âm"]}
pick	{"verb": ["chọn", "hái", "nhặt"], "noun": ["sự lựa chọn"]}
wear	{"verb": ["mặc", "đeo"], "noun": ["quần áo", "sự hao mòn"]}
paper	{"noun": ["giấy", "bài báo", "tài liệu"], "verb": ["dán giấy", "bọc giấy"]}
special	{"adjective": ["đặc biệt", "riêng"], "noun": ["món đặc biệt"]}
space	{"noun": ["không gian", "vũ trụ", "chỗ trống"], "verb": ["đặt khoảng cách"]}
ground	{"noun": ["mặt đất", "sân", "lý do"], "verb": ["đặt xuống đất", "cấm túc"]}
form	{"noun": ["hình thức", "mẫu", "dạng"], "verb": ["hình thành", "tạo thành"]}
support	{"verb": ["hỗ trợ", "ủng hộ", "chống đỡ"], "noun": ["sự hỗ trợ", "sự ủng hộ"]}
event	{"noun": ["sự kiện", "biến cố"]}
official	{"adjective": ["chính thức"], "noun": ["cán bộ", "viên chức"]}
whose	{"pronoun": ["của ai"]}
matter	{"noun": ["vấn đề", "chất liệu", "vật chất"], "verb": ["có ý nghĩa", "quan trọng"]}
everyone	{"pronoun": ["mọi người", "tất cả mọi người"]}
center	{"noun": ["trung tâm"], "verb": ["tập trung vào"]}
couple	{"noun": ["cặp đôi", "vài"], "verb": ["ghép đôi"]}
site	{"noun": ["địa điểm", "trang web"], "verb": ["đặt", "xây dựng"]}
project	{"noun": ["dự án"], "verb": ["lên kế hoạch", "chiếu"]}
hit	{"verb": ["đánh", "va", "trúng"], "noun": ["cú đánh", "sự thành công"]}
base	{"noun": ["cơ sở", "nền tảng", "đáy"], "verb": ["dựa vào", "đặt nền tảng"]}
activity	{"noun": ["hoạt động"]}
star	{"noun": ["ngôi sao", "diễn viên nổi tiếng"], "verb": ["đóng vai chính"]}
table	{"noun": ["bàn", "bảng"], "verb": ["đặt lên bàn"]}
court	{"noun": ["tòa án", "sân (thể thao)"], "verb": ["tán tỉnh", "tìm kiếm"]}
produce	{"verb": ["sản xuất", "tạo ra"], "noun": ["nông sản"]}
eat	{"verb": ["ăn"]}
teach	{"verb": ["dạy"]}
oil	{"noun": ["dầu"], "verb": ["tra dầu"]}
half	{"noun": ["một nửa"], "adjective": ["một nửa"], "adverb": ["một nửa"]}
situation	{"noun": ["tình huống", "hoàn cảnh"]}
easy	{"adjective": ["dễ dàng"]}
cost	{"noun": ["chi phí", "giá cả"], "verb": ["tốn", "có giá"]}
industry	{"noun": ["công nghiệp", "ngành công nghiệp"]}
figure	{"noun": ["hình dáng", "con số", "nhân vật"], "verb": ["hình dung", "tính toán"]}
street	{"noun": ["đường phố"]}
image	{"noun": ["hình ảnh", "tượng"], "verb": ["hình dung", "phản ánh"]}
itself	{"pronoun": ["chính nó", "tự nó"]}
phone	{"noun": ["điện thoại"], "verb": ["gọi điện thoại"]}
either	{"conjunction": ["hoặc"], "adjective": ["một trong hai"], "pronoun": ["một trong hai"]}
data	{"noun": ["dữ liệu"]}
cover	{"verb": ["che phủ", "bao gồm"], "noun": ["vỏ", "bìa", "lớp phủ"]}
quite	{"adverb": ["khá", "hoàn toàn"]}
picture	{"noun": ["bức tranh", "hình ảnh"], "verb": ["hình dung", "miêu tả"]}
clear	{"adjective": ["rõ ràng", "trong suốt"], "verb": ["làm sạch", "giải tỏa"]}
practice	{"noun": ["thực hành", "luyện tập"], "verb": ["thực hành", "luyện tập"]}
piece	{"noun": ["mảnh", "mẩu", "phần"]}
